# Engine-provided script globals, derived from the game's own Lua bytecode
# scripts scanned: 552   globals SET by scripts: 554
# A global listed here is indexed as a table by some script but is never SETGLOBAL'd by
# ANY script -> the engine must provide it. 'catalog' = how many of its method names the
# Ghidra native catalog also knows as bound natives (independent EXE-side evidence).
#
# status	class	methods_used	catalog_hits	sample_methods
known	Debug	216	112	AddAllAugmentations,AddAllCarbonatedPrizes,AddAllCards,AddAllClothing,AddAllClothingAccessories,AddAllCrossbows,AddAllDLC1AugmentableWeapons,AddAllDLC1Augmentations
known	ScriptFunction	143	9	AdjustVillageWealth,AreCoachDriversTurnedOffInLevel,AreGuardsTurnedOffInLevel,AreShipCaptainsTurnedOffInLevel,AreTransientsTurnedOffInLevel,CheckCutsceneExists,CheckForInteractiveCutsceneFinished,CheckTextTagExists
ACCEPT	Dog	127	124	AcquireMaulTarget,Bark,CanIdle,CanPlayAnimationAtCurrentLocation,ClearDogCommand,ClearTriggerTarget,CreateExpressionMessage,CreateExpressionMessageFromRecordName
ACCEPT	OpinionReaction	100	100	AreYouWillingToSleepWithHero,BeenInteractedWith,CanBeExtorted,CanFlirtWithHero,CanReact,CanRespondToSpecialCaseExpressions,ClearReacting,DoYouWantToSuggestSleepingWithHero
known	GUI	95	83	AddAmountToMiniGameComplete,AddItemRewardToEpilogueScreen,AddWorldIcon,AddWorldIconWithOffset,AskForAmount,AskPlayPubGameQuestion,AskSetQuestPrimaryQuestion,AskYesNoQuestion
known	Player	76	76	AddCutsceneMicrophone,AddEntityExcludedFromNoInteractionRule,AddHUDExpressionChoiceByID,AddHUDSuggestionExpressionOfType,AddHUDSuggestionInventoryItemOfType,AddHUDSuggestionOfType,AddRumble,AddRumbleFromTable
ACCEPT	Combat	70	70	CanJumpNow,ClearEnrage,ClearWaypoint,EngagedByEnemyThisTick,GetAmbushAction,GetAmbushTarget,GetBaseLevel,GetCanBeAttacked
ACCEPT	Camera	54	51	AddCameraShake,ClearDebugFocusToCut,ClearDebugMoveToCut,ClearStoredSpline,DisplayZoomLevel,DoesBigCameraRayIntersect,DoesCameraRayIntersect,DoesSmoothCameraRayIntersect
ACCEPT	Village	54	54	AddPatron,AdjustWealthIndex,AdjustWealthIndexByGiftValue,CanDoJob,CanOpenShops,GetBuildingList,GetCanFleeToTransientExits,GetChanceOfWeaponReaction
known	Stats	52	52	AddDrunkVillager,AddEntityAsAmusedByHero,AddEntityAsReactedWithHateToHero,AddEntityAsScaredByHero,AddMoralityFromCelebration,AddUnlockedTitle,AreNewPubItemsUnlocked,ClearRealEstateBonuses
ACCEPT	Villager	52	52	AddChild,AddParent,CanOpinionReactOnInteraction,ClearExtortionCrime,CloneEntityToLimbo,ConvertVillagerToNewEntity,ForgiveHerosCrimes,GetClosestDiscoveredCrimePosition
ACCEPT	PlayerFamily	51	51	Adopt,AdoptWithSpouse,CanAdopt,CanDivorce,CanHaveChildWithThisEntityOnThisLevel,CanMarry,ConvertAllBabiesToChildren,DoesChildWantToDoGrownUpBehaviour
ACCEPT	Navigation	46	45	AIMeshRayCastHasCollided,AddExclusionZone,AddShouldNotAvoidObstacle,AdjustCombatWheelProngToFitAIMesh,AdjustToValidAngleAgainstAIMesh,CalculateApproximateDistanceToPosition,CanAddExclusionZone,CanNavigateToPosition
known	QuestTracker	45	45	ClearAllObjectiveEntities,ClearQuestGiver,Deregister,GetObjectiveLevel,GetPrimaryQuestName,GiveRewards,HasBeenActivated,IsActive
ACCEPT	GroupEvent	43	43	AddEntityToCrowd,CanCrowdMembersMicroReact,CreateCelebration,CreateCommotion,CreateCrowdControl,CreateMoodEffect,CreateOpinionEffect,DecrementCrowdEntitiesTalkingCount
known	Breadcrumber	34	34	ClearOverriddenTargetEntity,ClearOverriddenTargetLevel,GetDrawTrail,GetTargetLockingPosition,GetTargetPosition,IsActive,OverrideTargetEntity,ResetAreaInitialAngle
ACCEPT	Creature	31	30	AddCombatFlags,DoesCreatureHaveSpecialisation,GetCollisionHeadPosition,GetCreatureFlag,GetCreatureGeneratorLevel,GetCreatureType,GetHollowManMoveDest,GetNameTagHash
reject	QuestManager	31	1	AddQuestThread,AddQuestToPermanentsTables,BaseVersionNumber,BreadcrumbEntity,CounterMetatable,CurrentlyRunningQuests,CurrentlyRunningQuestsListEnd,DogEntity
known	Timing	26	21	AdvanceDayCount,FastForwardTimeOfDayTo,FramesToSeconds,GetDayCount,GetProgramFrame,GetRealWorldHour,GetRealWorldMinute,GetSecondsSince
ACCEPT	Carrying	25	23	GetEntityInSlot,GetFastWeaponSwitchAnimName,GetSlotOccupiedByEntity,GetSlotToSheatheWeapon,GetSlotWithSheathedMeleeWeapon,GetSlotWithSheathedRangedWeapon,GetUnsheatheAnimName,HasSlotWithSheathedMeleeWeapon
ACCEPT	ManagedLocations	25	24	ClearLocation,GetAttachedEntityAssociatedWithLocation,GetCorrespondingLocation,GetEntityOccupyingLocation,GetEntityOccupyingLocationOnObject,GetEntityWhichContainsLocation,GetFacingDirForLocation,GetLocation
ACCEPT	VillageCrimeManager	23	23	AddAssassinationTarget,AddCrime,AddVigilante,AreThereUnsolvedCrimes,CheckPubGameDebts,DisplayCrimeScreen,GetCrimeDebugInfo,GetCriminal
ACCEPT	AmbientPopulationManager	22	22	AreCoachDriversDisabled,AreGuardsDisabled,AreInterestingAreasEnabled,AreShipCaptainsDisabled,AreWhoresDisabled,ClearMaxTransientsOverrideForVillage,DisableAmbientPopulationInLevel,DisableCoachDriversInLevel
known	Inventory	22	22	AddEntity,AddInitialItems,AddItem,AddItemOfType,AddItemsFromEntity,Clear,GetInitialHeroMeleeWeapon,GetInitialHeroRangedWeapon
reject	QZ_CrucibleCommon	22	0	QC120_ArenaThread,QC120_DogSitTrigger,QC120_ExplodingBarrelReplacementThread,QC120_Round1Marker,QC120_Round2Marker,QC120_Round2SwitchTrigger,QC120_Round2SwitchTrigger_2,QC120_Round3Marker
ACCEPT	CreatureGenerator	21	20	AddFamily,ClearFamilies,CreateReinforcements,GetChaseRadius,GetCreateRadius,GetDestroyRadius,GetECType,GetNumSavedCreatures
ACCEPT	Shard	21	21	BombardFired,GetBombardTarget,GetCurrentStance,GetStuckCounter,IsAvailable,IsForcedShut,IsMoving,IsPerformingBeamAttack
known	Follow	20	20	CanAnyMoreFollow,CanFollow,FollowEntity,FollowEntityFromExpression,GetFollowMessageID,GetFollowTarget,GetListOfFollowers,GetNumberOfFollowers
known	Gossip	20	20	ActivateGossipItem,AddConversation,DeactivateGossipItem,DisableGossipForFaction,DisableGossipForLevel,DisableGossipForPersonLabel,EnableGossipForFaction,EnableGossipForLevel
known	SearchTools	20	20	FilterActiveDiggingSpot,FilterByMarkerType,FilterByOwner,FilterCombatantWithinDistanceOrMemory,FilterFoesForCombatCamera,FilterGuardPatrolPoints,FilterHobbeCasterAllies,FilterInvalidCombatants
ACCEPT	GraphicAppearance	19	19	DebugSkeletonise,GetDummyObjectFacingDirection,GetDummyObjectPosition,GetECType,GetFadedByCamera,GetFadedRange,HasDummyObject,HasFinishedPreloadingMeshes
ACCEPT	LeadHero	19	19	ClearTarget,GetArrivedTag,GetBackTag,GetCatchUpTag,GetDistanceHeroIsBehindBy,GetPathLengthToDestination,GetPlayerPathLengthToDestination,GetRightWayTag
ACCEPT	SpellManager	19	18	CreateScriptedSpellShot,CreateScriptedSpellShotForcePushOnDeath,CreateScriptedSpellShotLongFireball,GetCurrentChargingSlotIdx,GetNumberOfShieldedSwords,IsAvailable,IsCharging,IsEntityAssassinsRushActive
ACCEPT	Building	18	18	CanAutoCloseDoors,CheckIfBuyerIsStandingInBuilding,GetBuildingOwner,GetCostToSleepHere,GetHasBeenInitiallyPopulated,GetHasBeenPopulated,GetHouseDecorationBand,GetIncomeModifier
ACCEPT	ExpressionPerformer	18	18	AddDancer,DecrementCrowdSize,GetExpressionBeingPerformed,GetSweetness,IncrementCrowdSize,InterruptExpression,IsAvailable,IsExpressionAvailable
